tag,count
blush,9
long hair,9
looking at viewer,9
open mouth,9
smile,9
:d,8
bare shoulders,7
standing,7
2girls,6
bow,6
hair between eyes,6
hair ornament,6
hairclip,6
multiple girls,6
navel,6
short hair,6
very long hair,6
white background,6
pleated skirt,5
shirt,5
simple background,5
skirt,5
blue hair,4
breasts,4
cowboy shot,4
feet out of frame,4
flat chest,4
frills,4
socks,4
stomach,4
1girl,3
ahoge,3
aqua eyes,3
aqua hair,3
bare arms,3
bikini,3
blonde hair,3
brown eyes,3
brown hair,3
cheerleader,3
clothes writing,3
collarbone,3
crop top,3
floating hair,3
folded ponytail,3
frilled skirt,3
goat horns,3
hair bow,3
halterneck,3
holding,3
holding pom poms,3
horns,3
long sleeves,3
low ponytail,3
midriff,3
miniskirt,3
pink shirt,3
pink skirt,3
pom pom \(cheerleading\),3
purple eyes,3
shoes,3
sidelocks,3
sleeveless,3
small breasts,3
sneakers,3
solo,3
swept bangs,3
swimsuit,3
teeth,3
thighs,3
twintails,3
upper teeth only,3
white bow,3
white footwear,3
white socks,3
alternate costume,2
anchor symbol,2
arm up,2
armpits,2
beach,2
black sailor collar,2
black skirt,2
blue eyes,2
bow hairband,2
cheering,2
closed mouth,2
crop top overhang,2
day,2
dot nose,2
dutch angle,2
groin,2
hair ribbon,2
hairband,2
hand on own hip,2
legs,2
legs apart,2
midriff peek,2
neckerchief,2
ocean,2
outdoors,2
outstretched arm,2
red neckerchief,2
ribbon,2
sailor collar,2
school uniform,2
serafuku,2
side-tie bikini bottom,2
sky,2
sleeveless shirt,2
string bikini,2
water,2
wet,2
white hairband,2
white shirt,2
against railing,1
aged down,1
arched back,1
armpit crease,1
arms up,1
ass,1
ass visible through thighs,1
back,1
backless leotard,1
backless outfit,1
bell,1
bent over,1
black bikini,1
black gloves,1
black leotard,1
black pantyhose,1
black socks,1
black thighhighs,1
blue bikini,1
blue gloves,1
blue sky,1
bodystocking,1
brown leotard,1
brown pantyhose,1
cameltoe,1
character name,1
child,1
chinese knot,1
cloud,1
covered nipples,1
cowbell,1
cropped shirt,1
curtains,1
detached sleeves,1
flower knot,1
foot out of frame,1
frilled bikini,1
from behind,1
from below,1
from side,1
front-tie bikini top,1
front-tie top,1
full body,1
gloves,1
gold trim,1
gradient eyes,1
hands on own hips,1
hands up,1
index finger raised,1
indoors,1
kneehighs,1
leaning forward,1
leg warmers,1
leotard,1
leotard under clothes,1
light blush,1
loli,1
looking back,1
loose socks,1
medium breasts,1
neck bell,1
orb,1
outstretched arms,1
panties,1
pantyhose,1
pelvic curtain,1
pink bikini,1
pink footwear,1
railing,1
shoulder blades,1
striped bow,1
striped ribbon,1
sweat,1
tassel,1
thigh gap,1
thighhighs,1
thighlet,1
two-tone bow,1
v,1
vision \(genshin impact\),1
waist cape,1
white bikini,1
white panties,1
white sleeves,1
window,1
